NUMBER,ACCREDITATION NUMBER,REGION,NAME OF FACILITY,ADDRESS (Street/Barangay),TOWN/CITY,CONTACT NO.,HOL NAME (Head Of Laboratory),EMAIL,LABORATORY EMAIL,O.R. Number,"INCORRECT
METH","INCORRECT
THC","INCORRECT 
TOTAL","RESULT: 
WITH OR WITHOUT CONCERN",RESULT: REMARKS,"REMARKS:
PASSED / FAILED",SCORE,CERTIFICATE NO. ,
1,01-0860-22-PIBS-R,1,FINE PRECISION DIAGNOSTIC CLINIC,"AB FERNANDEZ WEST, POBLACION OESTE, DAGUPAN CITY",PANGASINAN,9753952963,"GIL BRYAN B. GALVAN,MD",fineprecisiondagupan@gmail.com,fineprecisiondagupan@gmail.com,5140231,4,4,8,,,PASSED,Acceptable,SDTLPT-23-010001,A
1,01-0887-22-PFSS-R,1,TLC DRUG TESTING CENTER,"2ND FLOOR VICTORIA SQUARE CARMEN WEST, ROSALES",PANGASINAN,09209482425 / 09558362095,"GIL BRYAN B. GALVAN,MD",tlcdrugtest@gmail.com,tlcdrugtest@gmail.com,5140229,1,0,1,,,PASSED,Excellent,SDTLPT-23-010002,E
1,01-0867-22-PIBS-R,1,FINE LEGACY MEDICAL LABORATORY,"3RD FLOOR EJR BLDG SADSARAN ST. POBLACION, ALAMINOS CITY",PANGASINAN,09209482425 / 09121133233,"GIL BRYAN B. GALVAN,MD",fine.legacyala17@gmail.com,fine.legacyala17@gmail.com,5140230,2,3,5,,,PASSED,Highly Satisfactory,SDTLPT-23-010003,HS
1,01-0716-22-PIBS-R,1,METRO VIGAN HOSPITAL,"RIZAL STREET BARANGAY IV (POBLACION), BANTAY CITY",ILOCOS SUR,9178124609,"BRENDA I. ROSUMAN,MD",mvmchlab2014@yahoo.com,mvmchlab2014@yahoo.com,5153089,2,4,6,,,PASSED,Acceptable,SDTLPT-23-010004,A
1,01-0910-19-PFSS-R,1,ROYAL STAR DRUG TESTING LABORATORY,"#100 AB FERNANDEZ WEST, POBLACION OESTE, DAGUPAN CITY",PANGASINAN,(075)6008811/ 09923776388,"REYNALDO A. JACINTO,MD",bingdoctolero@gmail.com,bingdoctolero@gmail.com,5153097,4,4,8,,,PASSED,Acceptable,SDTLPT-23-010005,A
1,01-1095-22-PIBS-R,1,LA UNION MEDICAL DIAGNOSTIC CENTER AND HOSP. INC.,"ANCHETA CORNER BUCANEG ST. BRGY CATBANGEN, SAN FERNANDO CITY",LA UNION,9230203578; 0726078339; 09209037732,"SHELDON STEVEN C. AQUINO,MD",lumedlaboratory@gmail.com,lumedlaboratory@gmail.com,5152985,0,0,0,,,PASSED,Excellent,SDTLPT-23-010006,E
1,01-0419-22-PFSS-R,1,ACULAB DRUG TESTING CENTER,"2ND FLOOR NIXEM BUILDING ALEXANDER STREET POBLACION, URDANETA CITY",PANGASINAN,9324094617,"MA. VIVIAN A. VILLAR,MD",aculabdrugtesting@yahoo.com,aculabdrugtesting@yahoo.com,5152983,2,3,5,,,PASSED,Highly Satisfactory,SDTLPT-23-010007,HS
1,01-0718-22-PIBS-R,1,PADRE PIO DIAGNOSTIC CENTER,"2ND FLR MICHA-DANI BLDG. 26 R. MAGSAYSAY ST. POBLACION, MALASIQUI CITY",PANGASINAN,9422561485,"IKE MANUEL G. FLORES,MD",ppdc.laboratory@gmail.com,ppdc.laboratory@gmail.com,5155503,2,4,6,,,PASSED,Acceptable,SDTLPT-23-010008,A
1,01-0420-22-PFSS-R,1,ORT DRUG TEST LABORATORY,"91 AB FERNANDEZ WEST, DAGUPAN CITY",PANGASINAN,9567150718,"SHELDON STEVEN C. AQUINO,MD",ortdtlapp@gmail.com,ortdtlapp@gmail.com,5148098,0,0,0,,,PASSED,Excellent,SDTLPT-23-010009,E
1,01-0723-22-PIBS-R,1,"SINGAPORE MEDICAL LABORATORIES, INC.","UNIT 207 ARB CORPORATE CENTER, TAPUAC DISTRICT",PANGASINAN,9177088723,"PAULO GIOVANNI L. MENDOZA,.MD",carelabdagupan@singaporediagnostics.com,carelabdagupan@singaporediagnostics.com,5150717,2,5,7,,,PASSED,Acceptable,SDTLPT-23-010010,A
1,01-0711-22-GIBS-R,1,ILOCOS TRAINING AND REGIONAL MEDICAL CENTER,"PARIAN, CITY OF SAN FERNANDO",LA UNION,09778568500/ 09178954092/ 0726076418 loc. 159,"DENNIS R. COLISAO,MD",itrmc.laboratory@gmal.com,itrmc.laboratory@gmal.com,5158591,2,1,3,,,PASSED,Highly Satisfactory,SDTLPT-23-010011,HS
1,01-1445-22-PFSS-R,1,THREE RJAM DRUGTESTING LABORATORY,"9 POBLACION OESTE , A,B.FERNANDEZ WEST, DAGUPAN CITY",PANGASINAN,9127893023,"MARK VINCENT R. MERCADO,MD",rowealbarida1971@gmail.com,rowealbarida1971@gmail.com,5157008,1,2,3,,,PASSED,Highly Satisfactory,SDTLPT-23-010012,HS
1,01-0717-22-PIBS-R,1,NORTHWESTERN UNIVERISTY INC.,"46 AIRPORT AVENUE, BRGY.46, NALBO, LAOAG CITY",PANGASINAN,09395712773/ (077) 6708153/ 09177720391,"ARLENE F. CASTRO,MD",nwu_laoagcity@yahoo.com,nwu_laoagcity@yahoo.com,5156959,1,3,4,,,PASSED,Highly Satisfactory,SDTLPT-23-010013,HS
1,01-0422-22-PFSS-R,1,QUEEN CHECK  DRUG TESTING LABORATORY,"2ND FLOOR  NEW PUBLIC MARKET ROXAS BLVD., SAM CARLOS CITY",PANGASINAN,9127893023,"MARK VINCENT R. MERCADO,MD",rowealbarida1971@gmail.com,rowealbarida1971@gmail.com,5157014,1,0,1,,,PASSED,Excellent,SDTLPT-23-010014,E
1,01-0714-22-PIBS-R,1,LORMA LIFECHECK CLINIC ,"MCARTHUR HIGHWAY, SEVILLA CITY OF SAN FERNANDO",LA UNION,09178193735/ (072) 6073419,"JERILYN L. DULAY,MD",lormalifecheckclinic@gmail.com,lormalifecheckclinic@gmail.com,5159074,2,4,6,,,PASSED,Acceptable,SDTLPT-23-010015,A
1,01-0161-19-PIBS-R,1,UNIVERSAL ADVANCE MEDICAL DIAGNOSTICS LABORATORY,"2ND FR., THE PENTAGON BLG. MCARTHUR HIGHWAY, NANCAYASAN, URDANETA CITY",PANGASINAN,9177737701,"IKE MANUEL G. FLORES,MD",universaladvancemedical@gmail.com,universaladvancemedical@gmail.com,5160909,2,3,5,,,PASSED,Highly Satisfactory,SDTLPT-23-010016,HS
1,01-0724-22-PIBS-R,1,TAGUDIN MEDICAL DIAGNOSTIC CENTER ,"059, LAS-UD, TAGUDIIN",ILOCOS SUR,9262306713,"GERALDINE M. AGPES,MD",asapTMDC2009@gmail.com / gmagpes@gmail.com,asapTMDC2009@gmail.com / gmagpes@gmail.com,5160904,0,2,2,,,PASSED,Excellent,SDTLPT-23-010017,E
1,01-0421-22-PIBS-R,1,PMR LABORATORY AND POLYCLINIC,"MARAMBA COMPOUND, ALEXANDER ST., POBLACION, URDANETA CITY",PANGASINAN,09157790601; (075) 6327493,"MA. THERESA L. ENRILE,MD",pmrlabpoly@yahoo.com,pmrlabpoly@yahoo.com,5160935,4,4,8,,,PASSED,Acceptable,SDTLPT-23-010018,A
1,01-1094-22-GIBS-I,1,LAOAG CITY GEN. HOSP. DRUG TESTING LABORATORY,"AIRPORT ROAD, BGY. NO. 46, NALBO, LAOAG CITY (CAPITAL)",ILOCOS NORTE,09272833582/  (077)7728828,"ARLENE GENCIANA F. CASTRO,MD",lcghlab2011@yahoo.com.ph,lcghlab2011@yahoo.com.ph,5161538,2,4,6,,,PASSED,Acceptable,SDTLPT-23-010019,A
1,01-1449-22-PIBS-R,1,VIRGEN MILAGROSA MEDICAL CENTER DRUG TESTING LAB. ,"MARTIN P. POSADAS AE., SAN CARLOS CITY ",PANGASINAN,09209037732/ 09464985524/ 075-5328888,"SHELDON STEVEN C. AQUINO,MD",vmmc1957@gmail.com,vmmc1957@gmail.com,5164564,2,3,5,,,PASSED,Highly Satisfactory,SDTLPT-23-010020,HS
1,01-0702-22-PIBS-R,1,A.G.S DIAGNOSTIC AND DRUG TESTING LABORATORY ,"149 NATIONAL ROAD, MANZON SAN CARLOS CITY ",PANGASINAN,9171484286,"MARILOU M. SISON,MD",marilou_ags@yahoo.com,marilou_ags@yahoo.com,5166823,3,1,4,,,PASSED,Highly Satisfactory,SDTLPT-23-010021,HS
1,01-0856-23-PIBS-R,1,PANGASINAN DOCTORS HOSPITAL CORPORATION,"RIZAL AVENUE, SAN CARLOS CITY",PANGASINAN,09209000178 / 075-632-5870,"SHELDON STEVEN C. AQUINO,MD",pdh_laboratory2000@yahoo.com,pdh_laboratory2000@yahoo.com,5178215,1,1,2,,,PASSED,Excellent,SDTLPT-23-010022,E
